[2026-01-18 14:56:45,565: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-01-18 14:56:45,568: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-01-18 14:56:45,570: INFO: common: YAML file loaded successfully: params.yaml]
[2026-01-18 14:56:45,571: INFO: common: created directory at: artifacts]
[2026-01-18 14:56:45,571: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-18 14:56:45,572: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1Wc_m82ujKWaTG9fQ-gz_lr28YPNcV-FD/view into file artifacts/data_ingestion/data.zip]
[2026-01-18 14:59:05,380: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1Wc_m82ujKWaTG9fQ-gz_lr28YPNcV-FD/view into file artifacts/data_ingestion/data.zip]
[2026-01-18 15:02:03,024: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-01-18 15:02:03,024: INFO: main: *******************]
[2026-01-18 15:02:03,024: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2026-01-18 15:02:03,199: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-01-18 15:02:03,261: INFO: common: YAML file loaded successfully: params.yaml]
[2026-01-18 15:02:03,262: INFO: common: created directory at: artifacts]
[2026-01-18 15:02:03,262: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-01-18 15:03:48,105: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2026-01-18 15:03:48,105: INFO: main: *******************]
[2026-01-18 15:03:48,105: INFO: main: >>>>>> stage Training started <<<<<<]
[2026-01-18 15:03:48,107: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-01-18 15:03:48,109: INFO: common: YAML file loaded successfully: params.yaml]
[2026-01-18 15:03:48,110: INFO: common: created directory at: artifacts]
[2026-01-18 15:03:48,110: INFO: common: created directory at: artifacts\training]
[2026-01-18 15:18:29,905: INFO: main: >>>>>> stage Training completed <<<<<<

x==========x]
[2026-01-18 15:43:59,034: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2026-01-18 15:43:59,036: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-01-18 15:43:59,038: INFO: common: YAML file loaded successfully: params.yaml]
[2026-01-18 15:43:59,039: INFO: common: created directory at: artifacts]
[2026-01-18 15:43:59,040: INFO: common: created directory at: artifacts/data_ingestion]
[2026-01-18 15:43:59,040: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1Wc_m82ujKWaTG9fQ-gz_lr28YPNcV-FD/view into file artifacts/data_ingestion/data.zip]
[2026-01-18 15:46:52,078: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1Wc_m82ujKWaTG9fQ-gz_lr28YPNcV-FD/view into file artifacts/data_ingestion/data.zip]
[2026-01-18 15:50:10,168: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2026-01-18 15:50:10,168: INFO: main: *******************]
[2026-01-18 15:50:10,168: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2026-01-18 15:50:10,171: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-01-18 15:50:10,173: INFO: common: YAML file loaded successfully: params.yaml]
[2026-01-18 15:50:10,174: INFO: common: created directory at: artifacts]
[2026-01-18 15:50:10,174: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-01-18 15:50:14,765: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2026-01-18 15:50:14,766: INFO: main: *******************]
[2026-01-18 15:50:14,766: INFO: main: >>>>>> stage Training started <<<<<<]
[2026-01-18 15:50:14,768: INFO: common: YAML file loaded successfully: config\config.yaml]
[2026-01-18 15:50:14,769: INFO: common: YAML file loaded successfully: params.yaml]
[2026-01-18 15:50:14,770: INFO: common: created directory at: artifacts]
[2026-01-18 15:50:14,770: INFO: common: created directory at: artifacts\training]
[2026-01-18 16:06:25,606: INFO: main: >>>>>> stage Training completed <<<<<<

x==========x]
